圣骑,复活数量由6变1，cd100s,,人类步兵,"盾，开启后，可30%几率反弹魔法攻击,移动速度为50%，175,150,75"
大法师,cd15变90,,火枪,"射程，再增加20,100,150,60"
山丘,加生命500变250，加伤害20变10,,兽人步兵,"坚韧，技能，瞬间增加15点攻击力,免疫晕眩，但移动速度减少至50%，此速度减少不与其他任何减速叠加，持续10s，cd40s，同时体积变大，比率如同嗜血术，体积变大可以与嗜血叠加"
血法,凤凰攻击减少15,,猎头,"再生，从1.5变成6,200,100,70"
剑圣,伤害110变75,,弓箭手,"射击术，得到一个自动释放的技能，增加10攻击力，cd15s，无消耗，225,175，80"
牛头,复活后魔法只有50%,,食尸鬼,"食尸，秒回复25,憎恶也享用该升级，150,0,60"
暗影猎手,时间30变24,,,
恶魔猎手,加生命500变100,,,
守望者,复仇之魂HP变为300，可以被驱散，守望者不再魔免,,,
恐惧魔王,不再魔法免疫,,,
地穴领主,持续时间30变24,,,
熊猫,分身死一个则其他分身全死，暴风多一个技能同保存,,,
黑暗游侠,cd45变60，并且有2s施法时间,,,
深渊领主,恶魔守卫HP为1350,,,
炼金术士,cd45变60,,,
地精修补匠,初始对建筑造成50%额外伤害,,,
